-2.999999999999989342e+00 -9.999999999999991118e-01 -9.999999999999991118e-01 -9.999999999999982236e-01 1.000000000000000222e+00 1.000000000000000444e+00 1.000000000000003553e+00 3.000000000000000000e+00
-2.970095170033147713e+00 -9.901690240495750750e-01 -9.900000076977661934e-01 -9.900000076977659713e-01 9.900000076977670815e-01 9.900000076977674146e-01 9.901690240495799600e-01 2.970095170033157039e+00
-2.940384596214834279e+00 -9.806826639177352867e-01 -9.800000311052614599e-01 -9.800000311052607938e-01 9.800000311052623481e-01 9.800000311052631252e-01 9.806826639177403937e-01 2.940384596214843604e+00
-2.910874385774268269e+00 -9.715505377577802193e-01 -9.700000707083533680e-01 -9.700000707083529239e-01 9.700000707083535900e-01 9.700000707083540341e-01 9.715505377577837720e-01 2.910874385774277595e+00
-2.881570975182552452e+00 -9.627818853980816272e-01 -9.600001270131497400e-01 -9.600001270131492959e-01 9.600001270131502951e-01 9.600001270131505171e-01 9.627818853980849578e-01 2.881570975182561778e+00
-2.852481154766597360e+00 -9.543854791125210291e-01 -9.500002005470709054e-01 -9.500002005470704614e-01 9.500002005470712385e-01 9.500002005470716826e-01 9.543854791125252479e-01 2.852481154766606686e+00
-2.823612095328497329e+00 -9.463695281502908507e-01 -9.400002918599781321e-01 -9.400002918599779100e-01 9.400002918599785762e-01 9.400002918599786872e-01 9.463695281502955137e-01 2.823612095328505767e+00
-2.794971376913930605e+00 -9.387415773625731319e-01 -9.300004015253817702e-01 -9.300004015253817702e-01 9.300004015253821033e-01 9.300004015253824363e-01 9.387415773625773507e-01 2.794971376913938599e+00
-2.766567019876112532e+00 -9.315084003887532660e-01 -9.200005301417260029e-01 -9.200005301417257808e-01 9.200005301417264469e-01 9.200005301417267800e-01 9.315084003887557085e-01 2.766567019876121414e+00
-2.738407518382406369e+00 -9.246758879924183994e-01 -9.100006783337577509e-01 -9.100006783337573069e-01 9.100006783337587501e-01 9.100006783337591942e-01 9.246758879924221741e-01 2.738407518382413919e+00
-2.710501876508129904e+00 -9.182489322638809348e-01 -9.000008467539906132e-01 -9.000008467539903911e-01 9.000008467539919454e-01 9.000008467539925006e-01 9.182489322638855977e-01 2.710501876508138785e+00
-2.682859647055503949e+00 -9.122313075268970728e-01 -8.900010360842618429e-01 -8.900010360842616208e-01 8.900010360842632862e-01 8.900010360842635082e-01 9.122313075269010696e-01 2.682859647055511942e+00
-2.655490973223475937e+00 -9.066255488987580158e-01 -8.800012470373994589e-01 -8.800012470373983486e-01 8.800012470373999030e-01 8.800012470374005691e-01 9.066255488987615685e-01 2.655490973223483042e+00
